開始日時：2016/08/02 20:04:56
棋戦：R対局(15分)
手合割：平手
先手：sente
後手：gote
手数----指手---------消費時間--
1 ２六歩(27)   ( 0:03/00:00:03)
2 ３四歩(33)   ( 0:02/00:00:02)
3 ２五歩(26)   ( 0:02/00:00:05)
4 ３三角(22)   ( 0:06/00:00:08)
5 ３八銀(39)   ( 0:01/00:00:06)
6 ３二金(41)   ( 0:10/00:00:18)
7 ７八金(69)   ( 0:10/00:00:16)
8 ８四歩(83)   ( 0:13/00:00:31)
9 ６八銀(79)   ( 0:05/00:00:21)
10 ８五歩(84)   ( 0:09/00:00:40)
11 ２七銀(38)   ( 0:02/00:00:23)
12 ８六歩(85)   ( 0:19/00:00:59)
13 ８六歩(87)   ( 0:04/00:00:27)
14 ８六飛(82)   ( 0:03/00:01:02)
15 ８七歩打     ( 0:02/00:00:29)
16 ８四飛(86)   ( 0:14/00:01:16)
17 ３六銀(27)   ( 0:03/00:00:32)
18 ２二銀(31)   ( 0:15/00:01:31)
19 ７九角(88)   ( 0:04/00:00:36)
20 ７二銀(71)   ( 0:24/00:01:55)
21 ６九玉(59)   ( 0:05/00:00:41)
22 ８三銀(72)   ( 0:15/00:02:10)
23 ５六歩(57)   ( 0:04/00:00:45)
24 ７四銀(83)   ( 0:05/00:02:15)
25 ５七銀(68)   ( 0:04/00:00:49)
26 ８五銀(74)   ( 0:43/00:02:58)
27 ６六銀(57)   ( 0:01/00:00:50)
28 ４二玉(51)   ( 1:05/00:04:03)
29 ２四歩(25)   ( 0:09/00:00:59)
30 ２四歩(23)   ( 0:03/00:04:06)
31 ２四角(79)   ( 0:04/00:01:03)
32 ２四角(33)   ( 0:17/00:04:23)
33 ２四飛(28)   ( 0:03/00:01:06)
34 ２三歩打     ( 0:19/00:04:42)
35 ２八飛(24)   ( 0:12/00:01:18)
36 ８二飛(84)   ( 0:45/00:05:27)
37 ７五銀(66)   ( 0:48/00:02:06)
38 ３三銀(22)   ( 0:43/00:06:10)
39 ６八玉(69)   ( 0:17/00:02:23)
40 ７四歩(73)   ( 1:03/00:07:13)
41 ４六角打     ( 1:20/00:03:43)
42 ７三角打     ( 0:15/00:07:28)
43 ８六銀(75)   ( 0:03/00:03:46)
44 ８六銀(85)   ( 0:40/00:08:08)
45 ８六歩(87)   ( 0:11/00:03:57)
46 ８六飛(82)   ( 0:12/00:08:20)
47 ８七歩打     ( 0:17/00:04:14)
48 ５六飛(86)   ( 0:52/00:09:12)
49 ５七銀打     ( 0:08/00:04:22)
50 ４六角(73)   ( 1:04/00:10:16)
51 ４六歩(47)   ( 0:14/00:04:36)
52 ５四飛(56)   ( 0:15/00:10:31)
53 ４五銀(36)   ( 0:15/00:04:51)
54 ６四飛(54)   ( 0:42/00:11:13)
55 ５五角打     ( 0:13/00:05:04)
56 ７三桂(81)   ( 1:02/00:12:15)
57 ６四角(55)   ( 0:10/00:05:14)
58 ６四歩(63)   ( 0:07/00:12:22)
